query,Y
"Title: C# - Removing new lines in pipe-separated fileQuery: I have some files in CSV format, delimited with pipe.

I need every row of the file to be in one single line, but I have some files like this: 

    |0001|Some text|Some longer text that \n has new lines on it|1234

So, this means that the first row is now in two lines.

I'm talking about 5000 rows files that now have around 12000 lines.

I need to replace the `\n` in some columns of the file for just a space.

How can I do this in Microsoft C#?

   ",LQ_EDIT
"Title: Google photos on iPhone, only upload select photosQuery: <p>I have an iPhone and I want to create an album my friends, many of whom are Android users, can add photos to. I downloaded the app on my phone for this purpose. In order to add any photos the phone first wants to uploade all my photos to Google Photos. I don't want this to happen. I only want to add select photos to the app. Further I don't want to create a situation where I remove a photo from Google Photos which then removes the photos from my phone and other devices. </p>
",LQ_CLOSE
"Title: Date formatting error assistance in bash shell script issueQuery: <p>I'm having issue identifying what exactly my issue is with this bash shell script. I copied exactly what my teacher has but cannot get it to run properly. Thank you in advance.</p>

<p>Script: 
[Script code for the program<a href=""https://i.stack.imgur.com/VYqAX.png"" rel=""nofollow noreferrer"">1</a></p>

<p>Outcome:
<a href=""https://i.stack.imgur.com/DdF9j.png"" rel=""nofollow noreferrer"">Outcome</a></p>
",LQ_CLOSE
"Title: INSERT QUERY ERROR--> Recoverable fatal error: Object of class mysqli could not be converted to string inQuery: i have been 3 hours stuck in this code, after the submit button was clicked, the record was not stored. All syntax i have look through, all look fine. Where is the thing againsting it to insert? Help please... cuz most of the guidance i look through almost is because select statement, but now i'm insert statement and same issue occur. here's my code:

    <table border='1'>
    			<tr>
    				<th colspan=""2"">
    					<h1>Property For Rent</h1>
    				</th>
    			<form method=""post"">
    				<tr><td>Property NO:</td><td><input type=""textbox"" name=""pid""></td></tr>
    				<tr><td>Street:</td><td><input type=""textbox"" name=""street""></td></tr>
    				<tr><td>City:</td><td><input type=""textbox"" name=""city""></td></tr>
    				<tr><td>Post Code:</td><td><input type=""textbox"" name=""postcode""></td></tr>
    				<tr><td>Type:</td><td><input type=""textbox"" name=""type""></td></tr>
    				<tr><td>Rooms:</td><td><input type=""textbox"" name=""rooms""></td></tr>
    				<tr><td>Rent:</td><td><input type=""textbox"" name=""rent""></td></tr>
    				<tr><td>Owner No:</td><td><select name=""ownerno"">
    							<?php 
    								$conon=mysqli_connect('localhost','root','','dreamhome');
    								$SQLon=""select distinct ownerNo from propertyforrent"";
    								$queryresulton = mysqli_query($conon,$SQLon);
    								while($resulton=mysqli_fetch_array($queryresulton))
    								{
    									echo '<option value="" '.$resulton['ownerNo'].' "">'.$resulton['ownerNo'].'</option>';
    								}
    								?>
    							</td></tr>
    				<tr><td>Staff No:</td><td><select name=""staffno"">
    							<?php 
    								$consn=mysqli_connect('localhost','root','','dreamhome');
    								$SQLsn=""select distinct staffNo from propertyforrent"";
    								$queryresultsn = mysqli_query($consn,$SQLsn);
    								while($resultsn=mysqli_fetch_array($queryresultsn))
    								{
    									echo '<option value="" '.$resultsn['staffNo'].' "">'.$resultsn['staffNo'].'</option>';
    								}
    								?>
    							</td></tr>
    				<tr><td>Branch No:</td><td><select name=""branchno"">
    							<?php 
    								$conbn=mysqli_connect('localhost','root','','dreamhome');
    								$SQLbn=""select distinct branchNo from propertyforrent"";
    								$queryresultbn = mysqli_query($conbn,$SQLbn);
    								while($resultbn=mysqli_fetch_array($queryresultbn))
    								{
    									echo '<option value="" '.$resultbn['branchNo'].' "">'.$resultbn['branchNo'].'</option>';
    								}
    								?>
    							</td></tr>
    				<td><input type=""Submit"" name=""submit"">
    							
    							</td>
    			</form>
    		</table>
    					<?php
    					if(isset($_POST['submit']))
    					{
    						if((!empty($_POST['pid']))&&(!empty($_POST['street']))&&(!empty($_POST['city']))
    						&&(!empty($_POST['postcode']))&&(!empty($_POST['type']))&&(!empty($_POST['rooms']))&&(!empty($_POST['rent']))
    						&&(!empty($_POST['ownerno']))&&(!empty($_POST['staffno']))&&(!empty($_POST['branchno'])))
    						{
    							$conad=mysqli_connect('localhost','root','','dreamhome');
    							if(!$conad)
    							{
    									echo 'Note connected to server';
    							} 
    							
    							if(!mysqli_select_db($conad,'dreamhome'))
    							{
    								echo 'Database Not Selected';
    							}
    							
    							$pid=mysqli_real_escape_string($conad,$_POST['pid']);
    							$street=mysqli_real_escape_string($conad,$_POST['street']);
    							$city=mysqli_real_escape_string($conad,$_POST['city']);
    							$postcode=mysqli_real_escape_string($conad,$_POST['postcode']);
    							$type=mysqli_real_escape_string($conad,$_POST['type']);
    							$rooms=mysqli_real_escape_string($conad,$_POST['rooms']);
    							$rent=mysqli_real_escape_string($conad,$_POST['rent']);
    							$ownerno=mysqli_real_escape_string($conad,$_POST['ownerno']);
    							$staffno=mysqli_real_escape_string($conad,$_POST['staffno']);
    							$branchno=mysqli_real_escape_string($conad,$_POST['branchno']);
    							
    							$SQLad= ""INSERT INTO propertyforrent (propertyNo,street,city,postcode,type,rooms,rent,ownerNo,staffNo,branchNo)
    									VALUES ('$pid','$street','$city','$postcode','$type','$rooms','$rent','$ownerno','$staffno','$branchno')"";
    							$resultad=mysqli_query($conad,$SQLad);
    							
    							if(!$resultad)
    							{
    								echo ""record not save!,mysqli_error($SQLad)"";
    							}
    							else
    							{
    								echo ""record save!"";
    							}
    						}
    						else
    						{
    							echo ""<h1>Please fill up all field!</h1>"";
    						}
    						
    					
    					}
    					?>



The error prompted out from mysqli_error is 

> Recoverable fatal error: Object of class mysqli could not be converted
> to string in",LQ_EDIT
"Title: python file lookup (database?)Query: <p><strong>Not asking to be spoonfed, more in what 'direction' I should be looking in order to learn this.</strong></p>

<p>So I have this file/database and I want users to type a name from the ""Name"" section. then the files searches for that name and gives the email/IP as output.</p>

<p>The format is:
NAME:UUID:EMAIL:IP</p>

<p>I want the name which the user asked to search only get 'searched' from the ""NAME"" part. and the output has to be ""EMAIL"" or ""IP""</p>

<p>Could someone help me out and point me in a direction where to make this? I've tried searching but I can't seem to find anything.</p>
",LQ_CLOSE
"Title: OutOfBoundsException error when creating an ArrayListQuery: <p>I am trying to make a deck of cards. So far I have this:</p>

<pre><code>import java.util.*;
public class Card {
    public static void main(String[] args) {
        ArrayList&lt;String&gt; rank = new ArrayList&lt;String&gt;(Arrays.asList(""Ace"", ""One"", ""Two"", ""Three"", ""Four"", ""Five"", ""Six"", ""Seven"", ""Eight"", ""Nine"", ""Ten"", ""Jack"", ""Queen"", ""King""));
        ArrayList&lt;String&gt; suite = new ArrayList&lt;String&gt;(Arrays.asList(""Spades"", ""Hearts"", ""Clubs"", ""Diamonds""));
        ArrayList&lt;String&gt; deck = new ArrayList&lt;String&gt;();
        String card;


        for (int i = 0; i &lt; rank.size(); i++) {
            for (int p = 0; i &lt; suite.size(); p++) {
                card = rank.get(i) + "" of "" + suite.get(p);
                deck.add(card);
            }
        }
        System.out.println(deck);
    }
}
</code></pre>

<p>I am getting an IndexOutOfBoundsException error on this line:</p>

<pre><code>card = rank.get(i) + "" of "" + suite.get(p);
</code></pre>
",LQ_CLOSE
"Title: node-fetch only returning promise pendingQuery: <p>I am trying out <code>node-fetch</code> and the only result I am getting is:</p>

<p><code>Promise { &lt;pending&gt; }</code></p>

<p>How can I fix this so I get a completed <code>promise</code>?</p>

<p>code:</p>

<pre><code>var nf = require('node-fetch');

nf(url).then(function(u){console.log(u.json())})
</code></pre>
",HQ
"Title: I don't know why it happens, It seems angular can't understand what I'm writingQuery: This is my HttpClient code what I wrote:

    import { Component, OnInit } from '@angular/core';
    import { HttpClient } from '@angular/common/http';
    import { CreeperUser } from '../Models/CreeperUser';
    import { Observable } from 'rxjs';
    
    @Component({
        templateUrl: 'friends.component.html'
    })
    export class FriendsComponent {
        users: number;
    
        constructor(private http: HttpClient) {
            this.DisplayUser();
        } 
    
        public CallApi_HttpGet(): Observable<CreeperUser[]> {
            return this.http.get<CreeperUser[]> ('https://localhost:44399/api/user');
        }

        public DisplayUser(){
            this.CallApi_HttpGet().subscribe(response => {
                this.users = response[0].userId;
            });
        }
    }

And when I use the code to run on my server, the Chrome's console told me this: 

    Error: Uncaught (in promise): Error: StaticInjectorError(AppModule) 

[enter image description here][1]


  [1]: https://i.stack.imgur.com/GbpFI.jpg

And I don't know how can I do. Please help me!",LQ_EDIT
"Title: Loop add new record to array in typescriptQuery: <p>I have a opt variable in Typescript</p>

<pre><code>let opt = [{}];
</code></pre>

<p>if I want to add multiple children to opt variable to below exsample with for loop</p>

<pre><code>options = [
    { name: ""option1"", value: 1 },
    { name: ""option2"", value: 2 }
]
</code></pre>

<p>how can I coding</p>

<pre><code>for(i=0; i&lt;=5; i++) {
    ...
}
</code></pre>
",LQ_CLOSE
"Title: Angular4.x Module not found: Error: Can't resolve 'classlist.js'Query: <p>When I remove comment part in polyfills.ts for polyfills to load page in Internet Explore</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>/** IE9, IE10 and IE11 requires all of the following polyfills. **/
 import 'core-js/es6/symbol';
 import 'core-js/es6/object';
 import 'core-js/es6/function';
 import 'core-js/es6/parse-int';
 import 'core-js/es6/parse-float';
 import 'core-js/es6/number';
 import 'core-js/es6/math';
 import 'core-js/es6/string';
 import 'core-js/es6/date';
 import 'core-js/es6/array';
 import 'core-js/es6/regexp';
 import 'core-js/es6/map';
 import 'core-js/es6/weak-map';
 import 'core-js/es6/set';
 import 'reflect-metadata';
/** IE10 and IE11 requires the following for NgClass support on SVG elements */
 import 'classlist.js';  // Run `npm install --save classlist.js`.

/** Evergreen browsers require these. **/
import 'core-js/es6/reflect';
import 'core-js/es7/reflect';


/**
 * Required to support Web Animations `@angular/animation`.
 * Needed for: All but Chrome, Firefox and Opera. http://caniuse.com/#feat=web-animation
 **/
 import 'web-animations-js';  // Run `npm install --save web-animations-js`.</code></pre>
</div>
</div>
</p>

<p>But if we do build using angular cli. it throws error in console
I did run this command in project ""npm install --save classlist.js""</p>

<pre><code>Module not found: Error: Can't resolve 'classlist.js' in src
 @ ./src/polyfills.ts 36:0-22
 @ multi ./src/polyfills.ts
</code></pre>

<p>Please suggest solution</p>
",HQ
"Title: Do help me handle the error in the sql command pleaseQuery: GOOD DAY PLEASE I AM TRYING TO EXECUTE THIS SQL COMMAND TO CREATE A TABLE

CRETE TABLE NEWS
(
  ID INT(128) NOT NULL AUTO_INCREMENT,
  TITLE VARCHAR(128),NOT NULL,
  SLUG VARCHAR(128) NOT NULL,
  TEXTS_S TEXT NOT NULL,
  PRIMARY (ID), );
)",LQ_EDIT
"Title: Conversion into proper date formatQuery: I've a system generated date and time format. It looks something like this, ""2017-04-12-02.29.25.000000"" . I want to convert this format into a standard one so that my system can read this and later on I can convert it into minutes. Someone please help to provide a code in R.",LQ_EDIT
"Title: Warning about system root certificate pool crypto/x509Query: <p>I am having the following warning message when issueing docker commands: (ex: docker ps)</p>

<pre><code>C:\Users\whha&gt;docker ps
time=""2017-01-24T23:17:36+01:00"" level=warning msg=""Unable to use system      certificate pool: crypto/x509: system root pool is not available on Windows""
</code></pre>

<p>Any idea how can it be avoided?
I´m running docker using docker toolbox on windows 8.1.</p>
",HQ
"Title: Cannot read property 'required' of nullQuery: <p>In the template I have a form, which one part of it has to do with rendering the list of courses:</p>

<pre><code>&lt;form #f=""ngForm"" (ngSubmit)=""submit(f)""&gt;
 &lt;div class=""form-group""&gt;
  &lt;label for=""courseCategory""&gt; Category &lt;/label&gt;
  &lt;select required ngModel name=""courseCategory"" #courseCategory=""ngModel"" id=""courseCategory"" class=""form-control""&gt;
    &lt;option value=""""&gt;&lt;/option&gt;
    &lt;option *ngFor=""let category of categories"" [value]=""category.id""&gt; // line 16
      {{category.name}}
    &lt;/option&gt;
  &lt;/select&gt;
  &lt;div class=""alert alert-danger"" *ngIf=""courseCategory.touched &amp;&amp; courseCategory.errors.required""&gt;
    Course category is required
  &lt;/div&gt;
 &lt;/div&gt;
&lt;/form&gt;
</code></pre>

<p>In the browser when I select a category and press TAB (to move away from the drop-down list), I get this error on Console:</p>

<blockquote>
  <p>CourseComponent.html:16 ERROR TypeError: Cannot read property
  'required' of null
      at Object.eval [as updateDirectives] (CourseComponent.html:20)</p>
</blockquote>

<p>Can you help me finding out what causes this error?</p>

<p>Bootstrap 3.3.7 is already installed in the VS Code.</p>
",HQ
"Title: How to transform String[] into collection?Query: <p>I am trying to get a String Collection in my Java code, so i'm trying something like this:</p>

<pre><code>Collection c = new String[]{};
</code></pre>

<p>But i get this error: <code>incompatible types: String[] cannot be converted to Collection</code>.<br>
Is there a way to convert <strong>String[]</strong> into <strong>Collection</strong> without doing something like this:</p>

<pre><code>var array = new String[]{""Apple"", ""Banana""};
var arrayList = new ArrayList&lt;String&gt;();
for (String fruit : array) {
    arrayList.add(fruit);
}
Collection c = arrayList;
</code></pre>
",LQ_CLOSE
"Title: Prometheus - add target specific label in static_configsQuery: <p>I have job definition as follows:</p>

<pre><code>  - job_name: 'test-name'
    static_configs:
      - targets: [ '192.168.1.1:9100', '192.168.1.1:9101', '192.168.1.1:9102' ]
        labels:
          group: 'development'
</code></pre>

<p>Is there any way to annotate targets with labels? For instance, I would like to add 'service-1' label to '192.168.1.1:9100', 'service-2' to '192.168.1.1:9101' etc.</p>
",HQ
"Title: Add element into array decremented every 2thh timesQuery: Hi I'm stuck with some math problem.
If i have simple array:

    var x = [
        {
            'index':0,
            ""place"": 1,
        },
        {
            'index':1,
            ""place"": 4,
        },
        {
            'index':0,
            ""place"": 9,
        },
        {
            'index':1,
            ""place"": 9,
        },
        {
            'index':0,
            ""place"": 9,
        },
    ];

How can i loop at this array and add some element ('row in this case') to match this ?

    var x = [
        {
            'index':0,
            ""place"": 1,
            ""row"":""0"",
        },
        {
            'index':1,
            ""place"": 4,
            ""row"":""0"",
        },
        {
            'index':0,
            ""place"": 9,
            ""row"":""1"",
        },
        {
            'index':1,
            ""place"": 9,
            ""row"":""1"",
        },
        {
            'index':0,
            ""place"": 9,
            ""row"":""2"",
        },
        {
            'index':0,
            ""place"": 9,
            ""row"":""2"",
        },
    ];

Thanks for any advices. I need this to create dynamic Gridlayout in nativescript.",LQ_EDIT
"Title: function openDialog() set width and set height Google SpreadsheeteQuery: i need set width in this dialog
[enter image description here][1]


  [1]: http://i.stack.imgur.com/iXskO.png


the code it's:

       // Use this code for Google Docs, Forms, or new Sheets.
    function onOpen() {
      SpreadsheetApp.getUi() // Or DocumentApp or FormApp.
          .createMenu('Cadastro')
          .addItem('Open', 'openDialog')
          .addToUi();
    }
    
    function openDialog() {
      var html = HtmlService.createHtmlOutputFromFile('index');
      SpreadsheetApp.getUi() // Or DocumentApp or FormApp.
          .showModalDialog(html, 'Dialog title');
    }`enter code here`

",LQ_EDIT
"Title: Detached entity passed to persist in Spring-DataQuery: <p>I have two tables in my db <code>Brand</code> and <code>Product</code> with the next simple structure:</p>

<p>| Brand | id PK | </p>

<p>| Product | id PK | brand_id FK |</p>

<p>and entities for that tables:</p>

<pre><code>@Entity
@Table(name = ""Brand"")
public class Brand {

    @Id
    @GeneratedValue(strategy = GenerationType.IDENTITY)
    private Long id;

    @Column(name = ""brand"")
    private String brand;

    /* getters and setters */
}
</code></pre>

<hr>

<pre><code>@Entity
@Table(name = ""Product"")
public class Product {

    @Id
    @GeneratedValue(strategy = GenerationType.IDENTITY)
    private Long id;

    @ManyToOne(cascade = CascadeType.ALL)
    @JoinColumn(name = ""brand_id"")
    private Brand brand;

    /* getters and setters */
}
</code></pre>

<p>As I use Spring-Data I have repository and service with implementation for Brand:</p>

<pre><code>@Repository
public interface BrandRepository extends JpaRepository&lt;Brand, Long&gt; {

    Brand findByBrand(String brand);
}
</code></pre>

<hr>

<pre><code>public interface BrandService {

    Brand findByBrand(String brand);
}
</code></pre>

<hr>

<pre><code>@Service
public class BrandServiceImpl implements BrandService {

    @Autowired
    private BrandRepository brandRepository;

    @Override
    public Brand findByBrand(String brand) {

        return brandRepository.findByBrand(brand);
    }
}
</code></pre>

<p>and for Product:</p>

<pre><code>@Repository
public interface ProductRepository extends JpaRepository&lt;Product, Long&gt; {
}
</code></pre>

<hr>

<pre><code>public interface ProductService {

    Product save(Product product);
}
</code></pre>

<hr>

<pre><code>@Service
public class ProductServiceImpl implements ProductService {

    @Autowired
    private ProductRepository productRepository;

    @Override
    public Product save(Product product) {
        return productRepository.save(product);
    }
}
</code></pre>

<p>The goal is to save Product object. Brand object should be saved automatically if it doesn't exist in db or should be set to Product otherwise:</p>

<pre><code>Brand brand = brandService.findByBrand(brandName);
if (brand == null) {
    brand = new Brand();
    brand.setBrand(""Some name"");
}
product.setBrand(brand);
productService.save(product);
</code></pre>

<p>It works fine if Brand object with specified brandName is not in my db. But if it is I get:</p>

<pre><code>PersistentObjectException: detached entity passed to persist
</code></pre>

<p>for Brand.</p>

<p>I can change cascade type to MERGE and it will work fine. But if I run the code with MERGE cascade type and Brand object with specified brandName is not in my db I get</p>

<pre><code>IllegalStateException:
org.hibernate.TransientPropertyValueException:
object references an unsaved transient instance - save the transient instance before flushing
</code></pre>

<p>for Brand (that's really not surprised).</p>

<p>What Cascade Type should be? Ot what I did wrong?</p>
",HQ
"Title: How evaluate a string?Query: <p>So basically what i have been struggling with is to evaluate sentence in EF Core.</p>

<p>For example if i have: </p>

<pre><code>string condition = ""65 &lt; 100 AND 65 &gt; 50""
</code></pre>

<p>How can evaluate that?</p>
",LQ_CLOSE
"Title: sum in excel until value met and show column headerQuery: <p>Hi and thank you in advance.</p>

<p>I want to sum up columns I2 to U2 but when the amount of the sum reaches 15, I want cell Y2 to display the column header, that are held in I1 to U1.</p>

<p><a href=""https://i.stack.imgur.com/zpVND.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/zpVND.png"" alt=""enter image description here""></a></p>
",LQ_CLOSE
"Title: Restrict Special and CNTRL+V character java scriptQuery: How can we restrict, special characters and CNTRL+V from Javascript (Not JQUERY), but it should allow (-) hyphen.",LQ_EDIT
