query,Y
"Title: How to center placeholder text in UISearchBar iOS 11Query: <p>With iOS 11, searchBars are defaulting to a left aligned text. While this looks good with the rest of the native changes to iOS, it doesn't really fit my design, and I would like it to be center, as it was before.</p>

<p>I can't find any such alignment attributes on <code>UISearchBar</code>. Am I missing something, or is it simply not possible? Do I have to create my own custom search bar e.g derived from a <code>UITextField</code> to achieve this?</p>
",HQ
"Title: How to show products in Volusion when insert it by Volusion APIQuery: I am importing the products through the Volusion API, the product is insert but not show in the front end of my store.

Anyone who know that how to show the products in front end. ",LQ_EDIT
"Title: View at the bottom in a UIScrollView, with AutoLayoutQuery: <p>I'm setting up content in a scroll view with autolayout. The objects in the scrollview are pinned top-to-bottom to the previous one, so that they are under one another. I have a footer view that is added at the end, below these objects. </p>

<p>Here's the catch: when there's few content, the contentView will be smaller than the screen height, so the footer view will appear somewhere in the middle of the screen (which is the normal behavior). But I'd like to prevent that, and make the view stay somewhere at the bottom. </p>

<p>In other words, I would like to setup a double constraint like:</p>

<pre><code>Put this view below all the objects in the scrollview 
AND
keep this view at a distance of max [some number] of the bottom of the screen
</code></pre>

<p>In a way that both constraints are always satisfied:</p>

<ul>
<li>If the height of the content is bigger than the screen, then the view appears at the bottom, after scrolling down</li>
<li>If the height is smaller, then the view is ""pinned"" to the bottom of the screen, leaving a space relatively big between the bottom of the content and the top of this view</li>
</ul>

<p>How can I achieve that with AutoLayout?</p>
",HQ
"Title: C# WebClient NTLM authentication starting for each requestQuery: <p>Consider a simple C# NET Framework 4.0 application, that:</p>

<ul>
<li>uses WebClient</li>
<li>authenticates using NTLM (tested on IIS 6.0 and IIS 7.5 server)</li>
<li>retrieves a string from an URL multiple times using DownloadString()</li>
</ul>

<p>Here's a sample that works fine:</p>

<pre><code>using System;
using System.Net;

namespace ConsoleApplication1
{
    class Program
    {
        static void Main(string[] args)
        {
            string URL_status = ""http://localhost/status"";

            CredentialCache myCache = new CredentialCache();
            myCache.Add(new Uri(URL_status), ""NTLM"", new NetworkCredential(""username"", ""password"", ""domain""));

            WebClient WebClient = new WebClient();
            WebClient.Credentials = myCache;

            for (int i = 1; i &lt;= 5; i++)
            {
                string Result = WebClient.DownloadString(new Uri(URL_status));
                Console.WriteLine(""Try "" + i.ToString() + "": "" + Result);
            }

            Console.Write(""Done"");
            Console.ReadKey();
        }
    }
}
</code></pre>

<p><strong>The problem:</strong></p>

<p>When enabling tracing I see that the NTLM authentication does not persist.</p>

<p>Each time Webclient.DownloadString is called, NTLM authentication starts (server returns ""WWW-Authenticate: NTLM"" header and the whole authenticate/authorize process repeats; there is no ""Connection: close"" header).</p>

<p>Wasn't NTLM supposed to authenticate a connection, not a request?</p>

<p>Is there a way to make WebClient reuse an existing connection to avoid having to re-authenticate each request?</p>
",HQ
"Title: Is it possible to do static partial classes?Query: <p>I want to take a class I have and split it up into several little classes so it becomes easier to maintain and read. But this class that I try to split using <code>partial</code> is a static class.</p>

<p>I saw in an example on Stackoverflow that this was possible to do but when I do it, it keeps telling me that I cannot derive from a static class as static classes must derive from object.</p>

<p>So I have this setup:</p>

<pre><code>public static class Facade
{
    // A few general methods that other partial facades will use
}

public static partial class MachineFacade : Facade
{
    // Methods that are specifically for Machine Queries in our Database
}
</code></pre>

<p>Any pointers? I want the <code>Facade</code> class to be static so that I don't have to initialize it before use.</p>
",HQ
"Title: Simplest way to cascade styles in react nativeQuery: <p>I see that in react native if I set a <code>fontFamily</code> in a, for example, a <code>View</code>, the inner elements do not inherit it the property. Is it there a cascade concept available in react native styling? How do I accomplish it?</p>
",HQ
"Title: CodeName One TransitionsQuery: <p>I'm trying to transition part of a form, ie: when you click on a multiline button, just the content part of the form moves, while the header remains static. I'm not sure how to accomplish this or if it is possible. From what I can tell, you can do the whole form, but not parts?</p>
",LQ_CLOSE
"Title: This program is returning inf"" as the output in cQuery:     #include <stdio.h>
    void main()
    {
    	int i, n,a;
    	float result=1;
    	float sum;
    	a=1;
    	sum=0;
    	printf(""Enter a number:\n"");
    	scanf(""%d"",&n);
    
    	for (i=0;i<=n-1;i++)
    	{
    		result=result*i;
    		sum = a + (i/result);`enter code here`
    
    	}
    
    	printf(""%.2f is the answer\n"",sum );

}


The code here is meant to find the sum of factorial.The output comes as ""inf is the answer"". I don't know how to solve this. New to programming.
",LQ_EDIT
"Title: How remove spacebar in string in Oracle?Query: <pre><code>SELECT '17, 18' STRING_ 
    FROM DUAL;
</code></pre>

<p>remove spacebar</p>
",LQ_CLOSE
"Title: trying to add numbers in javascriptQuery: <p>I am trying to write a program to decrypt a encrypted message. The encrypted message is a very long set of numbers "".296.294.255.268.313.278.311.270.290.305.322.252.276.286.301.305.264.301.251.269.274.311.304.
230.280.264.327.301.301.265.287.285.306.265.282.319.235.262.278.249.239.284.237.249.289.250.
282.240.256.287.303.310.314.242.302.289.268.315.264.293.261.298.310.242.253.299.278.272.333.
272.295.306.276.317.286.250.272.272.274.282.308.262.285.326.321.285.270.270.241.283.305.319.
246.263.311.299.295.315.263.304.279.286.286.299.282.285.289.298.277.292.296.282.267.245.....ect"". 
Each character of the message is transformed into three different numbers (eg.first character of message is '230 .280 .264' second character is '.327.301.265' ect).
so i am trying to use javascript to add the groups of three numbers and then save them as their own variable. thanks </p>
",LQ_CLOSE
"Title: C# Fill array values in just one line of codeQuery: <p>I'm adding value to an array of bytes with the following code:</p>

<pre><code>byte[] ConnectionPath;


ConnectionPath[0] = 0;
ConnectionPath[1] = 2;
ConnectionPath[2] = 1;
ConnectionPath[3] = 0;
</code></pre>

<p>My question is, can't I do this in just 1 line of code? I tried this, but this doesn't work. (I know that you can do this by declaration, but of course this value changes through the program)</p>

<pre><code>ConnectionPath = { 0, 2, 1, 0};
</code></pre>
",LQ_CLOSE
"Title: TensorFlow image operations for batchesQuery: <p>There are a number of image operations in TensorFlow used for distorting input images during training, e.g. <code>tf.image.random_flip_left_right(image, seed=None)</code> and <code>tf.image.random_brightness(image, max_delta, seed=None)</code> and several others.</p>

<p>These functions are made for single images (i.e. 3-D tensors with shape [height, width, color-channel]). How can I make them work on a batch of images (i.e. 4-D tensors with shape [batch, height, width, color-channel])?</p>

<p>A working example would be greatly appreciated!</p>
",HQ
"Title: implementing Runnable acts different compared to extending ThreadQuery: I'm trying to learn how multithreading works. This is the example code I have:

    public class Processor extends Thread {
	private boolean running = true;

	public void run() {
		while (running) {
			System.out.println(""Hello there!"");
			try {
				Thread.sleep(100);
			} catch (InterruptedException e) {
				e.printStackTrace();
			}
		}
	}

	public void shutDown() {
		running = false;

	}

    }
    public class ProcessorDemo {
	public static void main(String[] args) {

		Processor proc1 = new Processor();
		proc1.start();
		
		System.out.println(""Press return to stop"");
		Scanner sc = new Scanner(System.in);
		sc.nextLine();
		proc1.shutDown();
		
	}

    }

The problem occurs, when I implement Runnable instead of extending Thread - the code difference
    
    public class Processor implements Runnable
    
    // in ProcessorDemo
    Thread proc1 = new Thread(new Processor());

What happens is, the code gives an error, saying:
""The method shutDown() is undefined for the type Thread""

Why is this happening, when both ways of creating Threads should give the same result?

Thanks everyone :) ",LQ_EDIT
"Title: Error: Could not find or load main class - Whenever i make a new java fileQuery: im currently working on a group project, we are using Eclipse to make a java program and using e-git (eclipse extension) to work together. For some reason today, whenever im trying to make an new java file in the package it will give me the error Error: Could not find or load main class projectPackage.filename, i have no idea what is causing the error as it was fine yesterday.",LQ_EDIT
"Title: How to get JSON error response and toast in androidQuery: Here's my code for when i trying to register user and need a toast which is response from server regarding user already exist. i can post successfully to server using json but if there's response i have to idea how to catch it the image shows example when using postman.
    
    public class RegisterActivity extends AppCompatActivity implements View.OnClickListener{

    private EditText signupInputName, signupInputEmail, signupInputPassword, retypeInputPassword;
    private Button btnSignUp;
    private Button btnLinkLogin;
    private String message = """";
    private int code = 0;

    Person person;
    @Override
    protected void onCreate(Bundle savedInstanceState) {
        super.onCreate(savedInstanceState);
        setContentView(R.layout.activity_register);

        signupInputName = (EditText) findViewById(R.id.signup_input_name);
        signupInputEmail = (EditText) findViewById(R.id.signup_input_email);
        signupInputPassword = (EditText) findViewById(R.id.signup_input_password);
        retypeInputPassword = (EditText) findViewById(R.id.signup_retype_password);

        btnSignUp = (Button) findViewById(R.id.btn_signup);
        btnLinkLogin = (Button) findViewById(R.id.btn_link_login);

        btnSignUp.setOnClickListener(this);

        btnLinkLogin.setOnClickListener(new View.OnClickListener() {
            @Override
            public void onClick(View view) {

                Intent i = new Intent(getApplicationContext(),LoginActivity.class);
                startActivity(i);
            }
        });
    }

    public String POST(String url, Person person)
    {
        InputStream inputStream = null;
        String result = """";

        try {

            // 1. create HttpClient
            HttpClient httpclient = new DefaultHttpClient();

            // 2. make POST request to the given URL
            HttpPost httppost = new HttpPost(url);

            String json = """";

            // 3. build jsonObject
            JSONObject jsonObject = new JSONObject();
            jsonObject.accumulate(""user_name"", person.getUsername());
            jsonObject.accumulate(""email"", person.getEmail());
            jsonObject.accumulate(""password"", person.getPassword());

            // 4. convert JSONObject to JSON to String
            json = jsonObject.toString();

            // ** Alternative way to convert Person object to JSON string usin Jackson Lib
            // ObjectMapper mapper = new ObjectMapper();
            // json = mapper.writeValueAsString(person);

            // 5. set json to StringEntity
            StringEntity se = new StringEntity(json);

            // 6. set httpPost Entity
            httppost.setEntity(se);

            // 7. Set some headers to inform server about the type of the content
            httppost.setHeader(""Accept"", ""application/json"");
            httppost.setHeader(""Content-type"", ""application/json"");

            // 8. Execute POST request to the given URL
            HttpResponse httpResponse = httpclient.execute(httppost);

            // 9. receive response as inputStream
            inputStream = httpResponse.getEntity().getContent();

            // 10. convert inputstream to string
            if(inputStream != null)
                result = convertInputStreamToString(inputStream);
            else
                result = ""Error! email exist"";

        } catch (Exception e) {
            Log.d(""InputStream"", e.getLocalizedMessage());
        }

        // 11. return result
        return result;
    }

    @Override
    public void onClick(View view) {
        if(validate() == 1)
        {
            Toast.makeText(getBaseContext(), message.toString(), Toast.LENGTH_SHORT).show();
        }
        else if (validate() == 2)
        {
            Toast.makeText(getBaseContext(), message.toString(), Toast.LENGTH_SHORT).show();
        }
        else if (validate() == 3)
        {
            Toast.makeText(getBaseContext(), message.toString(), Toast.LENGTH_SHORT).show();
        }
        else if (validate() == 4)
        {
            //Toast.makeText(getBaseContext(), ""Success"", Toast.LENGTH_SHORT).show();
            new HttpAsyncTask().execute(""http://ip-addressses/api/register"");
        }

    }

    private class HttpAsyncTask extends AsyncTask<String, Void, String>
    {
        @Override
        protected String doInBackground(String... urls) {

            person = new Person();
            person.setUsername(signupInputName.getText().toString());
            person.setEmail(signupInputEmail.getText().toString());
            person.setPassword(signupInputPassword.getText().toString());

            return POST(urls[0],person);
        }
        // onPostExecute displays the results of the AsyncTask.
        @Override
        protected void onPostExecute(String result) {

            JSONObject jObject;

            try {
                jObject = new JSONObject(result);
                if (jObject.has(""error"")) {
                    String aJsonString = jObject.getString(""error"");
                    Toast.makeText(getBaseContext(), aJsonString, Toast.LENGTH_SHORT).show();
                } else {
                    Toast.makeText(getBaseContext(), ""Login Successful"", Toast.LENGTH_SHORT).show();
                }
            } catch (JSONException e1) {
                // TODO Auto-generated catch block
                e1.printStackTrace();
            }


        }
    }

    private int validate() {
        if(signupInputName.getText().toString().trim().equals("""") || signupInputEmail.getText().toString().trim().equals("""") || signupInputPassword.getText().toString().trim().equals("""") || retypeInputPassword.getText().toString().trim().equals(""""))
        {
            code = 1;
            message = ""Complete the form!"";
        }
        else if (!(signupInputPassword.getText().toString().equals(retypeInputPassword.getText().toString())))
        {
            code = 2;
            message = ""Re-check password"";
        }
        else if (!isValidEmail(signupInputEmail.getText().toString()) ) {
            code = 3;
            message = ""Invalid email"";
        }
        else
            code = 4;

        return code;
    }

    public final static boolean isValidEmail(String target)
    {
        if (target == null) {
            return false;
        } else {
            Matcher match = Patterns.EMAIL_ADDRESS.matcher(target);
            return match.matches();
        }
    }

    private static String convertInputStreamToString(InputStream inputStream) throws IOException{
        BufferedReader bufferedReader = new BufferedReader( new InputStreamReader(inputStream));
        String line = """";
        String result = """";
        while((line = bufferedReader.readLine()) != null)
            result += line;

        inputStream.close();
        return result;

    }
}

[Postman response when email exist][1]


  [1]: https://i.stack.imgur.com/wqesS.png",LQ_EDIT
"Title: Can't get My Data Inserted in DatabaseQuery: i am new here. I am working on a school Project and can't get registration page done right. It just don't insert the data in table.[Here is a screenshot for database and table][1]

        <?php
    $con=mysqli_connect('localhost','root','123456789','eedb');
    if ($con)
    {
    	if (isset($_POST['sub']))
    	{
    		$n= $_POST['name'];
    		$un=$_POST['username'];
    		$p=$_POST['password'];
    		$cp=$_POST['confirm-pass'];
    		$e=$_POST['email'];
    		$pn=$_POST['phone-no'];
    		$g=$_POST['gender'];
    		$s=$_POST['state'];
            mysqli_query($con,""SELECT * FORM `register` "");
    		$insert= mysqli_query($con,""INSERT INTO `register`(`name`, `username`, `password`, `confirm-pass`, `email`, `phone-no`, `gender`, `state`) VALUES ('$n','$un','$p','$cp','$e','$pn','$g','$s'))"");
    		if ($insert)
    		{
    			echo ""<center>Data Successfully Submitted</center>"";
    		}
    		else
    		{
    			echo ""<center>Data Not Submitted</center>"";
    		}
    	}
    }
    else
    {
    	echo ""connection error"";
    }

 


  [1]: http://i.stack.imgur.com/jJhZv.png",LQ_EDIT
"Title: How can i write the sql query for this question below?Query: Among the students registered for the course ""Psychology"". what % of them have a GPA > 3?

Student:  
student_id* | student_name | student_gender

Course:  
course_id* | course_name | course_type 

Student_course_grade:  
student_id | course_id | grade

Please note : 
1. Grade field in Student_course_grade table is a number in (5,4,3,2,1)  instead of a letter grade like (A,B,C,D,E)
2. For a student who has registered for a course and has not completed it yet, the grade will be null.
3. GPA= Grade Point Average ( average of all grades scored by the student)",LQ_EDIT
"Title: Query to find names of all users who are not friends to each otherQuery: Friendship database contains two tables, one that keeps track of all the users, and one that maintains friendship relationships
between users


CREATE TABLE users (
    ID int,
    Name varchar(255)
);

CREATE TABLE friends (
    ID1 int,
    ID2 int
);
For each friendship there is exactly one entry in the friends table, containing the primary keys in users of the two friends.

And i want find names of all users who are not friends to each other",LQ_EDIT
"Title: How can I negate this expressQuery: *I have absolutely no clue how to work with regex's. I am less than a beginner.* 

I want to find any invalid css names from a string, so I can exclude them. Looking online I found a way to select the valid names. 

What I can't do is negate this expression: https://regexr.com/3ik89

Seems like everything I try just breaks it. ",LQ_EDIT
"Title: Why do we need products like Pusher and Socket.io to establish a websocket connection?Query: <p>I've been reading about websockets and SaaS like Pusher and Socket.io recently, while working on my Laravel chat practice application. What I don't understand is, why do we need external software to establish a websocket connection? Can't the server code like Laravel just directly establish the connection with the front-end like Vue.js? Why does it have to go through the middleman like Pusher and Socket.io? Sorry for the noob question.</p>
",HQ
"Title: When you press the W button with the Robot class, the character does not go forwardQuery: To get acquainted with the class robot decided to make a program that would control the character from the game Minecraft, but unfortunately this code does not work in the game. The letter is printed in a notebook, but can not get the character out of the game to walk(

    import java.awt.*;
    import java.awt.event.KeyEvent;
    
    public class Main {
        public static void main(String[] args) {
            try {
                Robot robot = new Robot();
                robot.keyPress(KeyEvent.VK_W);
                robot.delay(1000);
                robot.keyRelease(KeyEvent.VK_W);
            } catch (AWTException e) {
                e.printStackTrace();
            }
        }",LQ_EDIT
"Title: How to set the label Fonts as ""Time New Roman"" by drawparallels in pythonQuery: <p>I have draw a map with latitudes labelled but I want to set the fonts as ""Times New Roman"". How to make it possible?</p>

<p>m.drawparallels(parallels,labels=[1,0,0,0],fontsize=12)</p>
",HQ
"Title: Is there any way to remove VSTS agent without PAT?Query: <p>I'm trying to remove a VSTS agent from a system, but I no longer possess the Personal Access Token (PAT) originally used during setup. An answer on <a href=""https://social.msdn.microsoft.com/Forums/vstudio/en-US/431f9a06-db69-49d4-8bc0-3bff9911f959/vsts-private-agent-authentication-with-pat-personal-access-tokens?forum=TFService"" rel=""noreferrer"">this thread</a> states that I can just delete the agent from the VSTS web UI, but I don't see that option besides nuking the entire agent pool (which is not a great option for us).</p>

<p>When I try to run <code>config.cmd remove</code>, these are my results:</p>

<pre><code>PS C:\agent&gt; .\config.cmd remove
Removing agent from the server
Enter authentication type (press enter for PAT) &gt;
Enter personal access token &gt;
Enter personal access token &gt; Exiting...
</code></pre>
",HQ
